review,rating,date,bank,source,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_label,identified_themes
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,0.109,0.621,0.27,0.7579,positive,"Account Access Issues, User Interface & Experience, Feature Requests"
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,0.0,0.837,0.163,0.8728,positive,"Account Access Issues, User Interface & Experience, Feature Requests"
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,0.425,0.575,0.0,-0.7101,negative,Customer Support
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,0.0,0.774,0.226,0.5859,positive,User Interface & Experience
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,0.0,0.356,0.644,0.8415,positive,Other
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,"Transaction Performance, User Interface & Experience"
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,"Account Access Issues, Transaction Performance"
it's easy and fast,5,2025-05-10,CBE,Google Play,0.0,0.508,0.492,0.4404,positive,Other
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,0.185,0.815,0.0,-0.5267,negative,User Interface & Experience
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,0.0,0.399,0.601,0.9524,positive,"Account Access Issues, Customer Support"
wow best application ever,5,2025-05-09,CBE,Google Play,0.0,0.2,0.8,0.8402,positive,User Interface & Experience
good,5,2025-05-09,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,0.179,0.734,0.087,-0.4871,negative,User Interface & Experience
Best,4,2025-05-08,CBE,Google Play,0.0,0.0,1.0,0.6369,positive,Other
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,0.0,0.676,0.324,0.34,positive,Other
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,0.0,0.839,0.161,0.3182,positive,"User Interface & Experience, Feature Requests"
good,5,2025-05-07,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
ok,5,2025-05-07,CBE,Google Play,0.0,0.0,1.0,0.296,positive,Other
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,0.0,0.84,0.16,0.6115,positive,"Transaction Performance, User Interface & Experience"
ok,5,2025-05-07,CBE,Google Play,0.0,0.0,1.0,0.296,positive,Other
good,3,2025-05-06,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
amazing apps,5,2025-05-06,CBE,Google Play,0.0,0.208,0.792,0.5859,positive,User Interface & Experience
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Customer Support
needs improvement,1,2025-05-06,CBE,Google Play,0.0,0.25,0.75,0.4588,positive,Feature Requests
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,0.118,0.882,0.0,-0.1531,negative,Transaction Performance
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,0.039,0.701,0.26,0.9348,positive,"Transaction Performance, User Interface & Experience"
good,5,2025-05-06,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
good but these week not oky,4,2025-05-06,CBE,Google Play,0.0,0.719,0.281,0.2382,positive,Other
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,0.0,0.619,0.381,0.7772,positive,User Interface & Experience
